classe;nom_livre;code_barres;prix_vente;quantite
1ère année primaire;القراءة;101110;3.200;0
1ère année primaire;التّمارين;101111;3.000;0
1ère année primaire;رياضيات;102105;3.400;0
2ème année primaire;القراءة;101215;3.800;0
2ème année primaire;التّمارين;101216;3.200;0
2ème année primaire;رياضيات;102210;3.900;0
2ème année primaire;Mon cahier d’activités;121209;2.700;0
7ème année;الرّياضيات;102707;4.300;0
7ème année;العلوم الفيزيائيّة;103702;3.800;0
7ème année;Je communique en français;121707;4.300;0
8ème année;الرّياضيات;102805;4.300;0
9ème année;Pratique du français;121905;4.900;0
1ère année secondaire;Mathématiques;222104;5.000;0
1ère année secondaire;Sciences physiques;223103;4.500;0
2ème année secondaire;Le français en situation;221203;4.500;0
3ème année secondaire;Mathématiques T1 (sc. exp);222333;4.000;0
4ème année secondaire;Français : Partage (Lettres);221421;4.800;0
